Timestamp,Open,High,Low,Close,Volume
2012-12-31 00:00:00+00:00,4.58,16.41,3.8,13.24,567355.0775575
2013-12-31 00:00:00+00:00,13.24,1163.0,12.77,734.33,5029977.6540972
2014-12-31 00:00:00+00:00,734.33,995.0,275.0,316.67,5023879.51011237
2015-12-31 00:00:00+00:00,316.67,502.0,152.4,431.28,5526815.33690894
2016-12-31 00:00:00+00:00,430.91,980.74,352.0,963.16,1992562.38515293
2017-12-31 00:00:00+00:00,963.16,19666.0,751.34,13808.19,4698217.03305466
2018-12-31 00:00:00+00:00,13840.53,17234.99,3122.28,3750.76,3932143.36624056
2019-12-31 00:00:00+00:00,3750.62,13880.0,3322.19,7139.78,2995466.55959716
2020-12-31 00:00:00+00:00,7145.05,29300.0,3850.0,28920.98,3072508.75626915
2021-12-31 00:00:00+00:00,28912.47,69000.0,27734.0,46648.83,1804465.65500227
2022-12-31 00:00:00+00:00,46659.24,48234.0,15479.0,16567.0,834121.20857842
2023-12-31 00:00:00+00:00,16567.0,44729.0,16471.0,42639.0,681553.29798944
2024-12-31 00:00:00+00:00,42652.0,108364.0,38505.0,93381.0,807821.62306052
2025-12-31 00:00:00+00:00,93347.0,126272.0,74434.0,91357.0,570969.52326163
